movieId,title,genres,rating,imdb_link,poster
1189,Prefontaine (1997),Drama,5.0,https://www.imdb.com/,static/posters/Prefontaine.jpg
1500,Santa with Muscles (1996),Comedy,5.0,https://www.imdb.com/,static/posters/Santa with Muscles.jpg
1201,Marlene Dietrich: Shadow and Light (1996) ,Documentary,5.0,https://www.imdb.com/,static/posters/Marlene Dietrich Shadow and Light.jpg
1293,Star Kid (1997),"Adventure, Children's, Fantasy, Sci-Fi",5.0,https://www.imdb.com/,static/posters/Star Kid.jpg
1653,Entertaining Angels: The Dorothy Day Story (1996),Drama,5.0,https://www.imdb.com/,static/posters/Entertaining Angels The Dorothy Day Story.jpg
1122,They Made Me a Criminal (1939),"Crime, Drama",5.0,https://www.imdb.com/,static/posters/They Made Me a Criminal.jpg
814,"Great Day in Harlem, A (1994)",Documentary,5.0,https://www.imdb.com/,"static/posters/Great Day in Harlem, A.jpg"
1467,"Saint of Fort Washington, The (1993)",Drama,5.0,https://www.imdb.com/,"static/posters/Saint of Fort Washington, The.jpg"
1536,Aiqing wansui (1994),Drama,5.0,https://www.imdb.com/,static/posters/Aiqing wansui.jpg
1599,Someone Else's America (1995),Drama,5.0,https://www.imdb.com/,static/posters/Someone Else's America.jpg
1449,Pather Panchali (1955),Drama,4.625,https://www.imdb.com/,static/posters/Pather Panchali.jpg
1642,Some Mother's Son (1996),Drama,4.5,https://www.imdb.com/,static/posters/Some Mother's Son.jpg
1594,Everest (1998),Documentary,4.5,https://www.imdb.com/,static/posters/Everest.jpg
119,Maya Lin: A Strong Clear Vision (1994),Documentary,4.5,https://www.imdb.com/,static/posters/Maya Lin A Strong Clear Vision.jpg
1398,Anna (1996),Drama,4.5,https://www.imdb.com/,static/posters/Anna.jpg
408,"Close Shave, A (1995)","Animation, Comedy, Thriller",4.491071428571429,https://www.imdb.com/,"static/posters/Close Shave, A.jpg"
318,Schindler's List (1993),"Drama, War",4.466442953020135,https://www.imdb.com/,static/posters/Schindler's List.jpg
